[03:11:01] [Client thread/ERROR]: Can't find the resource index file: assets\indexes\1.8.9.json
[03:11:01] [Client thread/INFO]: Setting user: Player687
[03:11:01] [Client thread/INFO]: (Session ID is token:0:Player687)
[03:11:01] [Client thread/INFO]: [OptiFine] *** Reflector Forge ***
[03:11:01] [Client thread/INFO]: [OptiFine] *** Reflector Vanilla ***
[03:11:01] [Client thread/INFO]: [OptiFine] (Reflector) Class not present: net.minecraftforge.fml.common.eventhandler.Event$Result
[03:11:01] [Client thread/INFO]: [OptiFine] (Reflector) Class not present: net.minecraft.launchwrapper.Launch
[03:11:01] [Client thread/INFO]: LWJGL Version: 2.9.4
[03:11:02] [Client thread/INFO]: [OptiFine] 
[03:11:02] [Client thread/INFO]: [OptiFine] OptiFine_1.8.9_HD_U_M5
[03:11:02] [Client thread/INFO]: [OptiFine] Build: null
[03:11:02] [Client thread/INFO]: [OptiFine] OS: Windows 11 (amd64) version 10.0
[03:11:02] [Client thread/INFO]: [OptiFine] Java: 1.8.0_372, Amazon.com Inc.
[03:11:02] [Client thread/INFO]: [OptiFine] VM: OpenJDK 64-Bit Server VM (mixed mode), Amazon.com Inc.
[03:11:02] [Client thread/INFO]: [OptiFine] LWJGL: 2.9.4
[03:11:02] [Client thread/INFO]: [OptiFine] OpenGL: NVIDIA GeForce GTX 1660/PCIe/SSE2, version 4.6.0 NVIDIA 531.18, NVIDIA Corporation
[03:11:02] [Client thread/INFO]: [OptiFine] OpenGL Version: 4.6.0
[03:11:02] [Client thread/INFO]: [OptiFine] Maximum texture size: 32768x32768
[03:11:02] [VersionCheck/INFO]: [OptiFine] Checking for new version
[03:11:02] [Client thread/INFO]: [Shaders] OpenGL Version: 4.6.0 NVIDIA 531.18
[03:11:02] [Client thread/INFO]: [Shaders] Vendor:  NVIDIA Corporation
[03:11:02] [Client thread/INFO]: [Shaders] Renderer: NVIDIA GeForce GTX 1660/PCIe/SSE2
[03:11:02] [Client thread/INFO]: [Shaders] Capabilities:  2.0  2.1  3.0  3.2  4.0 
[03:11:02] [Client thread/INFO]: [Shaders] GL_MAX_DRAW_BUFFERS: 8
[03:11:02] [Client thread/INFO]: [Shaders] GL_MAX_COLOR_ATTACHMENTS_EXT: 8
[03:11:02] [Client thread/INFO]: [Shaders] GL_MAX_TEXTURE_IMAGE_UNITS: 32
[03:11:02] [Client thread/INFO]: [Shaders] Load shaders configuration.
[03:11:02] [Client thread/INFO]: [Shaders] Loaded shaderpack: ComplementaryShaders_v4.0.2.zip
[03:11:02] [Client thread/INFO]: [OptiFine] [Shaders] Worlds: -31, -30, -29, -28, -27, -23, -1, 1, 2, 5, 7, 10, 17, 20, 50, 51, 52, 53
[03:11:02] [VersionCheck/INFO]: [OptiFine] Version found: M5
[03:11:19] [Client thread/INFO]: [OptiFine] (Reflector) Class not present: net.minecraftforge.fml.common.Loader
[03:11:19] [Client thread/INFO]: [OptiFine] [Shaders] Parsing block mappings: /shaders/block.properties
[03:11:19] [Client thread/WARN]: [OptiFine] [Shaders] Invalid block ID mapping: block.12345=
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:blood
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:poison
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:hot_spring_water
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: ic2:heavy_water
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: ic2:distilled_water
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: ic2:hot_water
[03:11:19] [Client thread/WARN]: [OptiFine] [Shaders] Invalid block ID mapping: block.888=biomesoplenty:blood biomesoplenty:poison biomesoplenty:hot_spring_water ic2:heavy_water ic2:distilled_water ic2:hot_water
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:swamp_water
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:stagnant_water
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:dark_water
[03:11:19] [Client thread/WARN]: [OptiFine] [Shaders] Invalid block ID mapping: block.889=thebetweenlands:swamp_water thebetweenlands:stagnant_water midnight:dark_water
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:plant_0
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: biomesoplenty:plant_1
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: atum:oasis_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: atum:dead_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: atum:shrub
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: atum:weed
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:blue_eyed_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:bottle_brush_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:cave_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:swamp_tallgrass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: thebetweenlands:pale_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: xlfoodmod:grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:fingered_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: midnight:tall_midnight_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: tconstruct:slime_grass_tall
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:short_grass
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:chickenweed
[03:11:19] [Client thread/WARN]: [OptiFine] Shaders: Block not found for name: pvj:clovers
